c0S/m	depSM	flag	lat	lon	name	potemp090C	pr	sal00	sigma-t00	t090	timeJ	Season	zona
1.73809	-0.02	0.0	-28.469858000000002	-48.810978000000006	st11	27.9688	-0.02	9.5997	3.4141	27.9688	25.656424	verao	Canal
1.75372	-0.062	0.0	-28.469858000000002	-48.810978000000006	st11	27.9963	-0.062	9.6879	3.4716	27.9963	25.656505	verao	Canal
1.74665	-0.072	0.0	-28.469858000000002	-48.810978000000006	st11	27.987	-0.072	9.6474	3.4442	27.987	25.656586	verao	Canal
1.74761	0.066	0.0	-28.469858000000002	-48.810978000000006	st11	28.0114	0.066	9.6482	3.4376	28.0114	25.656667	verao	Canal
1.83628	0.526	0.0	-28.469858000000002	-48.810978000000006	st11	28.117	0.53	10.1588	3.7865	28.1171	25.656748	verao	Canal
2.11202	0.764	0.0	-28.469858000000002	-48.810978000000006	st11	28.1451	0.769	11.823	5.0177	28.1453	25.656829	verao	Canal
2.11789	0.992	0.0	-28.469858000000002	-48.810978000000006	st11	28.1441	0.999	11.859	5.0449	28.1443	25.65691	verao	Canal
2.12471	1.381	0.0	-28.469858000000002	-48.810978000000006	st11	28.1515	1.39	11.8987	5.0722	28.1518	25.656991	verao	Canal
2.22199	1.267	0.0	-28.469858000000002	-48.810978000000006	st11	28.169	1.276	12.4897	5.5072	28.1693	25.657072	verao	Canal
2.35679	1.558	0.0	-28.469858000000002	-48.810978000000006	st11	28.1627	1.568	13.3211	6.1284	28.163	25.657153	verao	Canal
3.18162	2.014	0.0	-28.469858000000002	-48.810978000000006	st11	27.6881	2.028	18.6982	10.2823	27.6885	25.657234	verao	Canal
3.74385	2.493	0.0	-28.469858000000002	-48.810978000000006	st11	27.1866	2.51	22.6168	13.3641	27.1872	25.657315	verao	Canal
3.7441	2.981	0.0	-28.469858000000002	-48.810978000000006	st11	27.1304	3.001	22.6454	13.4026	27.1311	25.657396	verao	Canal
3.92968	3.424	0.0	-28.469858000000002	-48.810978000000006	st11	27.0565	3.447	23.9299	14.3868	27.0573	25.657477	verao	Canal
4.06684	3.744	0.0	-28.469858000000002	-48.810978000000006	st11	26.8592	3.769	24.9635	15.2215	26.86	25.657558	verao	Canal
4.26344	4.135	0.0	-28.469858000000002	-48.810978000000006	st11	26.8052	4.163	26.3388	16.2691	26.8061	25.657639	verao	Canal
4.57515	4.558	0.0	-28.469858000000002	-48.810978000000006	st11	26.484	4.589	28.6907	18.1332	26.485	25.65772	verao	Canal
4.75507	5.015	0.0	-28.469858000000002	-48.810978000000006	st11	26.2384	5.049	30.1132	19.278	26.2395	25.657801	verao	Canal
4.84177	5.887	0.0	-28.469858000000002	-48.810978000000006	st11	26.1192	5.927	30.8073	19.8368	26.1205	25.657882	verao	Canal
4.85439	5.984	0.0	-28.469858000000002	-48.810978000000006	st11	26.1039	6.024	30.9074	19.9169	26.1052	25.657963	verao	Canal
4.87705	6.062	0.0	-28.469858000000002	-48.810978000000006	st11	26.1155	6.103	31.0611	20.029	26.1168	25.658044	verao	Canal
4.86739	5.355	0.0	-28.469858000000002	-48.810978000000006	st11	26.1678	5.391	30.9573	19.9348	26.169	25.658125	verao	Canal
4.82227	4.796	0.0	-28.469858000000002	-48.810978000000006	st11	26.2326	4.828	30.5935	19.6411	26.2337	25.658206	verao	Canal
4.81354	4.554	0.0	-28.469858000000002	-48.810978000000006	st11	26.2328	4.585	30.5316	19.5945	26.2338	25.658287	verao	Canal
4.70693	4.012	0.0	-28.469858000000002	-48.810978000000006	st11	26.5105	4.039	29.5983	18.8071	26.5114	25.658368	verao	Canal
4.57289	3.549	0.0	-28.469858000000002	-48.810978000000006	st11	26.6909	3.573	28.5477	17.962	26.6917	25.658449	verao	Canal
4.40792	2.86	0.0	-28.469858000000002	-48.810978000000006	st11	26.9533	2.879	27.2482	16.9056	26.9539	25.65853	verao	Canal
4.22493	2.316	0.0	-28.469858000000002	-48.810978000000006	st11	27.3921	2.332	25.7501	15.6466	27.3926	25.658611	verao	Canal
3.81554	1.777	0.0	-28.469858000000002	-48.810978000000006	st11	27.6327	1.789	22.8795	13.4235	27.6331	25.658692	verao	Canal
3.54943	1.16	0.0	-28.469858000000002	-48.810978000000006	st11	28.0811	1.168	20.9226	11.8222	28.0814	25.658773	verao	Canal
2.56805	0.511	0.0	-28.469858000000002	-48.810978000000006	st11	28.0958	0.514	14.6532	7.1413	28.0959	25.658854	verao	Canal
2.45329	0.251	0.0	-28.469858000000002	-48.810978000000006	st11	28.0814	0.253	13.9424	6.616	28.0815	25.658935	verao	Canal
2.06417	-0.026	0.0	-28.469858000000002	-48.810978000000006	st11	28.0631	-0.026	11.5512	4.8399	28.0631	25.659016	verao	Canal
1.99693	0.03	0.0	-28.474590999999997	-48.823625	st12	26.9961	0.03	11.395	5.0376	26.9961	25.662986	verao	Meio
2.40327	0.008	0.0	-28.474590999999997	-48.823625	st12	28.5563	0.008	13.4976	6.1404	28.5563	25.663067	verao	Meio
2.70739	-0.006	0.0	-28.474590999999997	-48.823625	st12	28.7755	-0.006	15.3084	7.4212	28.7755	25.663148	verao	Meio
2.75575	0.141	0.0	-28.474590999999997	-48.823625	st12	28.4426	0.142	15.7168	7.828	28.4426	25.663229	verao	Meio
2.74811	-0.038	0.0	-28.474590999999997	-48.823625	st12	28.7748	-0.038	15.5612	7.6097	28.7748	25.66331	verao	Meio
2.8735	0.425	0.0	-28.474590999999997	-48.823625	st12	28.3934	0.428	16.472	8.4059	28.3935	25.663391	verao	Meio
2.96539	0.817	0.0	-28.474590999999997	-48.823625	st12	28.397	0.823	17.0501	8.8356	28.3972	25.663472	verao	Meio
2.96308	1.059	0.0	-28.474590999999997	-48.823625	st12	28.3996	1.066	17.0346	8.8232	28.3998	25.663553	verao	Meio
3.00145	1.066	0.0	-28.474590999999997	-48.823625	st12	28.4004	1.073	17.2769	9.0036	28.4006	25.663634	verao	Meio
3.00656	0.911	0.0	-28.474590999999997	-48.823625	st12	28.4002	0.917	17.3093	9.0278	28.4004	25.663715	verao	Meio
3.01146	0.978	0.0	-28.474590999999997	-48.823625	st12	28.3986	0.985	17.3409	9.0518	28.3988	25.663796	verao	Meio
3.01344	0.39	0.0	-28.474590999999997	-48.823625	st12	28.3951	0.393	17.3548	9.0633	28.3952	25.663877	verao	Meio
3.00125	0.142	0.0	-28.474590999999997	-48.823625	st12	28.3891	0.143	17.2799	9.0094	28.3891	25.663958	verao	Meio
0.17839	-0.134	0.0	-28.474590999999997	-48.823625	st12	28.5179	-0.135	0.8382	-3.2836	28.5179	25.664039	verao	Meio
2.70115	-0.058	0.0	-28.450671000000003	-48.821951	st14	29.2442	-0.058	15.1226	7.137	29.2442	25.670359	verao	Canal
2.68777	-0.042	0.0	-28.450671000000003	-48.821951	st14	29.3322	-0.042	15.0133	7.0282	29.3322	25.67044	verao	Canal
2.70266	-0.035	0.0	-28.450671000000003	-48.821951	st14	29.3559	-0.035	15.0971	7.0831	29.3559	25.670521	verao	Canal
2.7286	0.207	0.0	-28.450671000000003	-48.821951	st14	29.3673	0.208	15.2524	7.195	29.3673	25.670602	verao	Canal
2.71949	0.407	0.0	-28.450671000000003	-48.821951	st14	29.3745	0.41	15.1943	7.1495	29.3746	25.670683	verao	Canal
2.72731	0.793	0.0	-28.450671000000003	-48.821951	st14	29.4256	0.798	15.2261	7.1571	29.4258	25.670764	verao	Canal
2.72834	0.914	0.0	-28.450671000000003	-48.821951	st14	29.4826	0.92	15.2146	7.1305	29.4828	25.670845	verao	Canal
2.75423	0.963	0.0	-28.450671000000003	-48.821951	st14	29.5092	0.969	15.3646	7.2337	29.5094	25.670926	verao	Canal
2.78512	0.734	0.0	-28.450671000000003	-48.821951	st14	29.4795	0.739	15.5632	7.3908	29.4797	25.671007	verao	Canal
2.80035	0.616	0.0	-28.450671000000003	-48.821951	st14	29.4813	0.62	15.656	7.4593	29.4814	25.671088	verao	Canal
2.80277	0.396	0.0	-28.450671000000003	-48.821951	st14	29.4383	0.399	15.6847	7.4942	29.4384	25.671169	verao	Canal
